Duracion;DuracionAscendente;DuracionDescendente;GradienteAscendente;GradienteDescendente;Volumen;Qmax_GEOM;CaudalBaseEscalon;HoraEpisodio;VolumenEpisodio;DuracionEpisodio;Volumen -4;Duracion -4;Distancia de -4;Volumen -3;Duracion -3;Distancia de -3;Volumen -2;Duracion -2;Distancia de -2;Volumen -1;Duracion -1;Distancia de -1;Volumen 1;Duracion 1;Distancia de 1;Volumen 2;Duracion 2;Distancia de 2;Volumen 3;Duracion 3;Distancia de 3;Volumen 4;Duracion 4;Distancia de 4;VolumenCercanoMas1.1;DistanciaCercanoMas1.1;Etiqueta
29;13;13;0.015384615384615385;0.015384615384615385;3.9979999999999998;0.2;0;12.75;3.9979999999999998;29;0;0;3600;0;0;3600;0;0;3600;0;0;3600;4.0;31;23;1.998;25;66;2.9970000000000003;31;118;9.993999999999994;91;166;4.0;23;Grifos
31;14;14;0.013392857142857142;0.013392857142857142;4.0;0.1875;0;12.616666666666667;4.0;31;0;0;3600;0;0;3600;0;0;3600;3.9979999999999998;29;23;1.998;25;12;2.9970000000000003;31;64;9.993999999999994;91;112;2.001;26;230;1.998;12;Grifos
25;9;9;0.011111111111111112;0.011111111111111112;1.998;0.1;0;12.333333333333334;1.998;25;0;0;3600;0;0;3600;3.9979999999999998;29;66;4.0;31;12;2.9970000000000003;31;27;9.993999999999994;91;75;2.001;26;193;1.998;28;257;4.0;12;Grifos
31;16;15;0.00859375;0.009166666666666667;2.9970000000000003;0.1375;0;12.2;2.9970000000000003;31;0;0;3600;3.9979999999999998;29;118;4.0;31;64;1.998;25;27;9.993999999999994;91;17;2.001;26;135;1.998;28;199;2.998;29;271;9.993999999999994;17;Grifos
91;15;15;0.009166666666666667;0.009166666666666667;9.993999999999994;0.1375;0;12.0;9.993999999999994;91;3.9979999999999998;29;166;4.0;31;112;1.998;25;75;2.9970000000000003;31;17;2.001;26;27;1.998;28;91;2.998;29;163;5.996;49;199;2.9970000000000003;17;Cisternas
26;11;11;0.009090909090909092;0.009090909090909092;2.001;0.1;0;13.966666666666667;2.001;26;4.0;31;230;1.998;25;193;2.9970000000000003;31;135;9.993999999999994;91;27;1.998;28;38;2.998;29;110;5.996;49;146;3.9980000000000007;36;210;9.993999999999994;27;Grifos
28;11;11;0.007954545454545455;0.007954545454545455;1.998;0.08750000000000001;0;13.033333333333333;1.998;28;1.998;25;257;2.9970000000000003;31;199;9.993999999999994;91;91;2.001;26;38;2.998;29;44;5.996;49;80;3.9980000000000007;36;144;2.0000000000000004;23;204;2.001;38;Grifos
29;14;14;0.010714285714285716;0.010714285714285716;2.998;0.15000000000000002;0;13.233333333333333;2.998;29;2.9970000000000003;31;271;9.993999999999994;91;163;2.001;26;110;1.998;28;44;5.996;49;7;3.9980000000000007;36;71;2.0000000000000004;23;131;0.999;16;219;5.996;7;Cisternas
49;15;13;0.010000000000000002;0.01153846153846154;5.996;0.15000000000000002;0;13.833333333333334;5.996;49;9.993999999999994;91;199;2.001;26;146;1.998;28;80;2.998;29;7;3.9980000000000007;36;15;2.0000000000000004;23;75;0.999;16;163;2.9979999999999998;29;995;2.998;7;Cisternas
36;14;14;0.010714285714285716;0.010714285714285716;3.9980000000000007;0.15000000000000002;0;13.9;3.9980000000000007;36;2.001;26;210;1.998;28;144;2.998;29;71;5.996;49;15;2.0000000000000004;23;24;0.999;16;112;2.9979999999999998;29;944;0.999;16;2122;5.996;15;Duchas
23;9;9;0.0125;0.0125;2.0000000000000004;0.1125;0;13.9;2.0000000000000004;23;1.998;28;204;2.998;29;131;5.996;49;75;3.9980000000000007;36;24;0.999;16;65;2.9979999999999998;29;897;0.999;16;2075;4.994000000000002;43;2381;3.9980000000000007;24;Duchas
16;5;5;0.0125;0.0125;0.999;0.0625;0;13.366666666666667;0.999;16;2.998;29;219;5.996;49;163;3.9980000000000007;36;112;2.0000000000000004;23;65;2.9979999999999998;29;816;0.999;16;1994;4.994000000000002;43;2300;0.999;16;3302;2.0000000000000004;65;Duchas
29;14;14;0.010714285714285716;0.010714285714285716;2.9979999999999998;0.15000000000000002;0;13.233333333333333;2.9979999999999998;29;5.996;49;995;3.9980000000000007;36;944;2.0000000000000004;23;897;0.999;16;816;0.999;16;1149;4.994000000000002;43;1455;0.999;16;2457;0.999;16;3191;2.0000000000000004;897;Cisternas
16;5;5;0.0125;0.0125;0.999;0.0625;0;13.866666666666667;0.999;16;3.9980000000000007;36;2122;2.0000000000000004;23;2075;0.999;16;1994;2.9979999999999998;29;1149;4.994000000000002;43;290;0.999;16;1292;0.999;16;2026;1.9969999999999999;30;2144;4.994000000000002;290;Cisternas
43;28;14;0.005803571428571429;0.011607142857142858;4.994000000000002;0.1625;0;13.966666666666667;4.994000000000002;43;2.0000000000000004;23;2381;0.999;16;2300;2.9979999999999998;29;1455;0.999;16;290;0.999;16;959;0.999;16;1693;1.9969999999999999;30;1811;1.9989999999999999;32;1878;2.9979999999999998;1455;Grifos
16;5;5;0.0125;0.0125;0.999;0.0625;0;14.666666666666666;0.999;16;0.999;16;3302;2.9979999999999998;29;2457;0.999;16;1292;4.994000000000002;43;959;0.999;16;718;1.9969999999999999;30;836;1.9989999999999999;32;903;0.999;16;964;1.9969999999999999;836;Fugas
16;5;5;0.0125;0.0125;0.999;0.0625;0;14.9;0.999;16;2.9979999999999998;29;3191;0.999;16;2026;4.994000000000002;43;1693;0.999;16;718;1.9969999999999999;30;102;1.9989999999999999;32;169;0.999;16;230;0.999;16;584;1.9969999999999999;102;Fugas
30;9;9;0.008333333333333335;0.008333333333333335;1.9969999999999999;0.07500000000000001;0;14.866666666666667;1.9969999999999999;30;0.999;16;2144;4.994000000000002;43;1811;0.999;16;836;0.999;16;102;1.9989999999999999;32;37;0.999;16;98;0.999;16;452;0.999;16;472;1.9989999999999999;37;Grifos
32;5;5;0.0125;0.0125;1.9989999999999999;0.0625;0;14.983333333333333;1.9989999999999999;32;4.994000000000002;43;1878;0.999;16;903;0.999;16;169;1.9969999999999999;30;37;0.999;16;29;0.999;16;383;0.999;16;403;0.999;16;423;1.9969999999999999;37;Grifos
38;13;15;0.010576923076923078;0.009166666666666667;3.997000000000001;0.1375;0;14.083333333333334;3.997000000000001;38;0.999;16;335;0.999;16;315;0.999;16;228;0.999;16;200;3.997000000000001;38;2045;5.999000000000002;52;5072;0.999;16;5187;5.996000000000002;49;6405;3.997000000000001;2045;Cisternas
38;13;15;0.010576923076923078;0.009166666666666667;3.997000000000001;0.1375;0;15.8;3.997000000000001;38;0.999;16;2398;0.999;16;2311;0.999;16;2283;3.997000000000001;38;2045;5.999000000000002;52;2989;0.999;16;3104;5.996000000000002;49;4322;0.999;16;4390;3.997000000000001;2045;Cisternas
52;15;13;0.009166666666666667;0.010576923076923078;5.999000000000002;0.1375;0;15.25;5.999000000000002;52;0.999;16;5338;0.999;16;5310;3.997000000000001;38;5072;3.997000000000001;38;2989;0.999;16;63;5.996000000000002;49;1281;0.999;16;1349;1.9989999999999999;32;1401;5.996000000000002;1281;Grifos
16;5;5;0.0125;0.0125;0.999;0.0625;0;15.166666666666666;0.999;16;0.999;16;5425;3.997000000000001;38;5187;3.997000000000001;38;3104;5.999000000000002;52;63;5.996000000000002;49;1202;0.999;16;1270;1.9989999999999999;32;1322;0.999;16;1437;5.999000000000002;63;Grifos
49;13;14;0.01153846153846154;0.010714285714285716;5.996000000000002;0.15000000000000002;0;16.466666666666665;5.996000000000002;49;3.997000000000001;38;6405;3.997000000000001;38;4322;5.999000000000002;52;1281;0.999;16;1202;0.999;16;19;1.9989999999999999;32;71;0.999;16;186;0.999;16;215;1.9989999999999999;71;Cisternas
16;5;5;0.0125;0.0125;0.999;0.0625;0;16.6;0.999;16;3.997000000000001;38;4390;5.999000000000002;52;1349;0.999;16;1270;5.996000000000002;49;19;1.9989999999999999;32;36;0.999;16;151;0.999;16;180;0.999;16;298;5.996000000000002;19;Cisternas
32;5;5;0.0125;0.0125;1.9989999999999999;0.0625;0;16.466666666666665;1.9989999999999999;32;5.999000000000002;52;1401;0.999;16;1322;5.996000000000002;49;71;0.999;16;36;0.999;16;83;0.999;16;112;0.999;16;230;0.999;16;355;5.996000000000002;71;Grifos
16;5;5;0.0125;0.0125;0.999;0.0625;0;16.383333333333333;0.999;16;0.999;16;1437;5.996000000000002;49;186;0.999;16;151;1.9989999999999999;32;83;0.999;16;13;0.999;16;131;0.999;16;256;0.999;16;335;1.9989999999999999;83;Grifos
16;5;5;0.0125;0.0125;0.999;0.0625;0;16.866666666666667;0.999;16;5.996000000000002;49;215;0.999;16;180;1.9989999999999999;32;112;0.999;16;13;0.999;16;102;0.999;16;227;0.999;16;306;0.999;16;438;1.9989999999999999;112;Grifos
16;5;5;0.0125;0.0125;0.999;0.0625;0;16.833333333333332;0.999;16;0.999;16;298;1.9989999999999999;32;230;0.999;16;131;0.999;16;102;0.999;16;109;0.999;16;188;0.999;16;320;0.999;16;421;1.9989999999999999;230;Grifos
16;5;5;0.0125;0.0125;0.999;0.0625;0;16.916666666666668;0.999;16;1.9989999999999999;32;355;0.999;16;256;0.999;16;227;0.999;16;109;0.999;16;63;0.999;16;195;0.999;16;296;0.999;16;337;1.9989999999999999;355;Grifos
16;5;5;0.0125;0.0125;0.999;0.0625;0;16.233333333333334;0.999;16;0.999;16;335;0.999;16;306;0.999;16;188;0.999;16;63;0.999;16;116;0.999;16;217;0.999;16;258;0.999;16;444;1.9989999999999999;434;Grifos
16;5;5;0.0125;0.0125;0.999;0.0625;0;16.433333333333334;0.999;16;0.999;16;438;0.999;16;320;0.999;16;195;0.999;16;116;0.999;16;85;0.999;16;126;0.999;16;312;0.999;16;375;4.986000000000005;422;Grifos
16;5;5;0.0125;0.0125;0.999;0.0625;0;16.116666666666667;0.999;16;0.999;16;421;0.999;16;296;0.999;16;217;0.999;16;85;0.999;16;25;0.999;16;211;0.999;16;274;4.986000000000005;48;321;4.986000000000005;321;Grifos
16;5;5;0.0125;0.0125;0.999;0.0625;0;16.8;0.999;16;0.999;16;337;0.999;16;258;0.999;16;126;0.999;16;25;0.999;16;170;0.999;16;233;4.986000000000005;48;280;0.999;16;956;4.986000000000005;280;Grifos
16;5;5;0.0125;0.0125;0.999;0.0625;0;16.9;0.999;16;0.999;16;444;0.999;16;312;0.999;16;211;0.999;16;170;0.999;16;47;4.986000000000005;48;94;0.999;16;770;2.9979999999999998;29;1698;4.986000000000005;94;Grifos
16;5;5;0.0125;0.0125;0.999;0.0625;0;16.95;0.999;16;0.999;16;375;0.999;16;274;0.999;16;233;0.999;16;47;4.986000000000005;48;31;0.999;16;707;2.9979999999999998;29;1635;0.999;16;1744;4.986000000000005;31;Grifos
